restaurant_id,name,neighborhood,cuisines,vibe,special_title,special_cadence,event_title,event_timing,source_url,contact_email,image_url,image_alt,image_source_url,image_source_type,image_rights_basis,image_permission_confirmed,image_attribution,image_review_state
osm-node-5150027725-100-cha-baa-tai,100 Cha Baa Tai,Dartmouth,,,,,,,,,,100 Cha Baa Tai restaurant photo,,owner_submission,owner_attestation,,100 Cha Baa Tai,needs_review
osm-node-11726220084-2-crows-oxford-taproom,2 Crows Oxford Taproom,West End,,,,,,,,,,2 Crows Oxford Taproom restaurant photo,,owner_submission,owner_attestation,,2 Crows Oxford Taproom,needs_review
osm-node-2702737179-9-nine,9 + Nine,Armdale / Fairview,,,,,,,https://9plus9.ca/,,,9 + Nine restaurant photo,,owner_submission,owner_attestation,,9 + Nine,needs_review
osm-node-13262605851-a-pria,a Pria,Downtown,,,,,,,,,,a Pria restaurant photo,,owner_submission,owner_attestation,,a Pria,needs_review
osm-node-3030042567-a-taste-of-india,A Taste of India,Downtown,,,,,,,,,,A Taste of India restaurant photo,,owner_submission,owner_attestation,,A Taste of India,needs_review
osm-node-2712744136-a-and-w,A&W,Downtown,,,,,,,,,,A&W restaurant photo,,owner_submission,owner_attestation,,A&W,needs_review
osm-node-8066235499-a-and-w,A&W,Dartmouth,,,,,,,,,,A&W restaurant photo,,owner_submission,owner_attestation,,A&W,needs_review
osm-way-171149714-a-and-w,A&W,Armdale / Fairview,,,,,,,,,,A&W restaurant photo,,owner_submission,owner_attestation,,A&W,needs_review
osm-way-1047164106-a-and-w,A&W,Armdale / Fairview,,,,,,,,,,A&W restaurant photo,,owner_submission,owner_attestation,,A&W,needs_review
osm-node-3790789371-agricola-street-brasserie,Agricola Street Brasserie,North End,,,,,,,,,,Agricola Street Brasserie restaurant photo,,owner_submission,owner_attestation,,Agricola Street Brasserie,needs_review
osm-node-2721708499-alex-oh-sushi-rolls,Alex Oh Sushi Rolls,Downtown,,,,,,,,,,Alex Oh Sushi Rolls restaurant photo,,owner_submission,owner_attestation,,Alex Oh Sushi Rolls,needs_review
osm-node-1139388774-alexandra-s-pizza,Alexandra's Pizza,Downtown,,,,,,,,,,Alexandra's Pizza restaurant photo,,owner_submission,owner_attestation,,Alexandra's Pizza,needs_review
osm-node-2714920427-alexandra-s-pizza,Alexandra's Pizza,West End,,,,,,,,,,Alexandra's Pizza restaurant photo,,owner_submission,owner_attestation,,Alexandra's Pizza,needs_review
